1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,,,,21,,23,24,,,27,28,29,30,31,32,33,
SKU,UPC,ProductName_Short,Brand,Category,Sub_Category,Size_Capacity,Shape,Color_Pattern,Feature,MaterialMain,Vendor,CasePack,UnitsPerCase,MasterCarton_Length_inches,MasterCarton_Width_inches,MasterCarton_Height_inches,MasterCarton_Length_cm,MasterCarton_Width_cm,MasterCarton_Height_cm,MasterCarton_Weight_lbs,MasterCarton_Weight_kg,CBM_per_Case,CBM_per_Unit,Max_Cartons_per_Pallet,Max Height_per_Pallet,CountryOfOrigin,FOB_Cost,LandedCost,WholesalePrice,MSRP,MAP,KeyAccountPrice_TJX,KeyAccountPrice_Costco
41358,,8PC Glass FS w/ Lids- Sam's Brazil,Sam,Food Storage,,,,,,,French Bull,4,,,,,,,,,,,,,,,8.2,8.2,,,,,
41367,,AmazonBasics 6pc Food Storage Set (0.33L 0.6L 4.7L),Amazon,Food Storage,,,,,,,Neoflam,6,,,,,,,,,,,,,,,4.52,4.6,,,,,
41374,,"Rockcrock Grill Stone - 15"" (TPC Item#3150)",TPC,Cookware,,"15""",,,,,Neoflam,6,,,,,,,,,,,,,,,12.38,12.38,,,,,
41489,,AmazonBasics 6pc Food Storage Set (1L)B06ZZ6XN4K,Amazon,Food Storage,,,,,,,Neoflam,6,,,,,,,,,,,,,,,2.77,2.77,,,,,
41491,,AmazonBasics 6pc Food Storage Set (1.2L)B06ZYC1R6L,Amazon,Food Storage,,,,,,,Neoflam,6,,,,,,,,,,,,,,,3.56,3.49,,,,,
41492,,Amazon Basics Air-Locked 3-Piece Food Storage Set 3 x 0.6 Liter,Amazon,Food Storage,,,,,,,Neoflam,6,,,,,,,,,,,,,,,2.32,2.37,,,,,
41493,,AmazonBasics 6pc Food Storage Set (0.80L)B071XYVHB7,Amazon,Food Storage,,,,,,,Neoflam,3,,,,,,,,,,,,,,,2.85,2.9,,,,,
41494,,"AmazonBasics 18"" Bamboo Drawer Organizer (ASIN: B0711B5BGG)",Amazon,Food Storage,,,,,,,Neoflam,6,,,,,,,,,,,,,,,7.54,7.54,,,,,
41502,,BJ's 12pc Smart Seal Container set (252609),BJS,Smart Seal,Smart Seal Set 12pc,,,,,,Neoflam,4,,,,,,,,,,,,,,,16.8,16.8,,,,,
41503,,Cleep 5pc Canister Set - Graphite Lid (10079766),Cleep,Canister,,,,,,,Neoflam,8,,,,,,,,,,,,,,,7.55,7.55,,,,,
41504,,Cleep 5pc Canister Set - White Lid (10079767),Cleep,Canister,,,,,,,Neoflam,8,,,,,,,,,,,,,,,7.55,7.55,,,,,
41505,,Ceramic Coating Cookware 4pcs Set,Herne,Cookware,,4 pcs,,,,,Neoflam,1,,,,,,,,,,,,,,,32.41,32.41,,,,,
41575,,5pc Smart Seal Food Storage Set (180126)/ 35421,SM,Smart Seal,,,,,,,Neoflam,6,,,,,,,,,,,,,,,7.43,7.43,,,,,
41622,,Smart Seal 19oz Square Canister - Black Lid,SM,Smart Seal,Smart Seal,19oz,Square,Black,,,Neoflam,24,,,,,,,,,,,,,,,1.02,1.02,,,,,
41623,,Smart Seal 46oz Square Canister - Black Lid,SM,Smart Seal,Smart Seal,46oz,Square,Black,,,Neoflam,12,,,,,,,,,,,,,,,1.21,1.21,,,,,
